origin_iso3,dest_iso3,commodity,value_usd,period_year,period_quarter
CHN,SGP,food,2208573432,2024,4
CHN,SGP,industrial_metals,7072844320,2024,1
CHN,SGP,vehicles,5156319603,2024,4
CHN,SGP,agriculture,2503890019,2024,4
CHN,SGP,chemicals,5872808550,2024,2
CHN,SGP,textiles,9115146759,2024,1
CHN,SGP,other,22510406941,2024,4
CHN,MYS,energy,2137332773,2024,1
CHN,MYS,semis,16419316333,2024,1
CHN,MYS,pharma,1613643349,2024,4
CHN,MYS,food,1305827594,2024,1
CHN,MYS,industrial_metals,4338849133,2024,1
CHN,MYS,vehicles,4868503185,2024,4
CHN,MYS,agriculture,1589440621,2024,1
CHN,MYS,chemicals,4010551131,2024,4
CHN,MYS,textiles,6477154314,2024,1
CHN,MYS,other,12953642323,2024,1
CHN,THA,energy,1371485868,2024,1
CHN,THA,semis,12727574597,2024,3
CHN,THA,pharma,1145763847,2024,2
CHN,THA,food,1301353303,2024,4
CHN,THA,industrial_metals,3602982753,2024,3
CHN,THA,vehicles,3537351264,2024,2
CHN,THA,agriculture,1585392271,2024,3
CHN,THA,chemicals,3305348560,2024,4
CHN,THA,textiles,8665465961,2024,2
CHN,THA,other,14858694869,2024,1
CHN,AUS,energy,1407083024,2024,2
CHN,AUS,semis,6828955326,2024,2
CHN,AUS,pharma,1208876161,2024,3
CHN,AUS,food,1446663649,2024,2
CHN,AUS,industrial_metals,4593508227,2024,3
CHN,AUS,vehicles,4310055318,2024,1
CHN,AUS,agriculture,1061107980,2024,2
CHN,AUS,chemicals,2251825731,2024,4
CHN,AUS,textiles,4703728929,2024,2
CHN,AUS,other,12429189430,2024,2
CHN,BRA,energy,1461421149,2024,1
CHN,BRA,semis,6575531719,2024,3
CHN,BRA,pharma,1342760594,2024,2
CHN,BRA,food,1351384427,2024,4
CHN,BRA,industrial_metals,2837318190,2024,4
CHN,BRA,vehicles,2786145054,2024,2
CHN,BRA,agriculture,1175427043,2024,3
CHN,BRA,chemicals,2744272149,2024,3
CHN,BRA,textiles,6382438673,2024,3
CHN,BRA,other,8569899535,2024,2
CHN,CAN,energy,1479615855,2024,2
CHN,CAN,semis,10674124718,2024,1
CHN,CAN,pharma,1095561805,2024,2
CHN,CAN,food,1182449059,2024,4
CHN,CAN,industrial_metals,4467624966,2024,2
CHN,CAN,vehicles,4397189286,2024,1
CHN,CAN,agriculture,910298409,2024,3
CHN,CAN,chemicals,3140910789,2024,3
CHN,CAN,textiles,6123372864,2024,2
CHN,CAN,other,8721636778,2024,3
CHN,MEX,energy,1431489083,2024,4
CHN,MEX,semis,9926074010,2024,3
CHN,MEX,pharma,873240953,2024,1
CHN,MEX,food,820549995,2024,1
CHN,MEX,industrial_metals,2654506684,2024,1
CHN,MEX,vehicles,3673674462,2024,1
CHN,MEX,agriculture,1469337805,2024,2
CHN,MEX,chemicals,3564156596,2024,4
CHN,MEX,textiles,3969821118,2024,4
CHN,MEX,other,12015965617,2024,3
CHN,PHL,energy,924453497,2024,1
CHN,PHL,semis,8105713314,2024,4
CHN,PHL,pharma,955961353,2024,1
CHN,PHL,food,923193984,2024,1
CHN,PHL,industrial_metals,3287642139,2024,1
CHN,PHL,vehicles,2556254533,2024,4
CHN,PHL,agriculture,983628358,2024,4
CHN,PHL,chemicals,3016111458,2024,3
CHN,PHL,textiles,3961330007,2024,4
CHN,PHL,other,9950488885,2024,2
CHN,IDN,energy,865019072,2024,1
CHN,IDN,semis,5242146150,2024,2
CHN,IDN,pharma,753013185,2024,1
CHN,IDN,food,867267328,2024,3
CHN,IDN,industrial_metals,1630304187,2024,2
CHN,IDN,vehicles,2275455304,2024,1
CHN,IDN,agriculture,790162758,2024,3
CHN,IDN,chemicals,1700216106,2024,2
CHN,IDN,textiles,3033311554,2024,4
CHN,IDN,other,5343786704,2024,2
CHN,ARE,energy,656206893,2024,3
CHN,ARE,semis,5899894332,2024,3
CHN,ARE,pharma,570359401,2024,3
CHN,ARE,food,585598528,2024,3
CHN,ARE,industrial_metals,2210942878,2024,1
CHN,ARE,vehicles,2561116600,2024,4
CHN,ARE,agriculture,686052340,2024,4
CHN,ARE,chemicals,1222700719,2024,2
CHN,ARE,textiles,3111411581,2024,3
CHN,ARE,other,7437793294,2024,2
CHN,FRA,energy,526228988,2024,4
CHN,FRA,semis,4611163159,2024,4
CHN,FRA,pharma,818247135,2024,3
CHN,FRA,food,539763072,2024,3
CHN,FRA,industrial_metals,1920594786,2024,1
CHN,FRA,vehicles,2751295087,2024,4
CHN,FRA,agriculture,945222469,2024,1
CHN,FRA,chemicals,1987558027,2024,1
CHN,FRA,textiles,3327255811,2024,2
CHN,FRA,other,8084622947,2024,1
CHN,ITA,energy,741255611,2024,1
CHN,ITA,semis,5023397063,2024,4
CHN,ITA,pharma,467724973,2024,1
CHN,ITA,food,646902175,2024,2
CHN,ITA,industrial_metals,1911746869,2024,4
CHN,ITA,vehicles,1376340787,2024,1
CHN,ITA,agriculture,649735579,2024,4
CHN,ITA,chemicals,1179517408,2024,1
CHN,ITA,textiles,2941795394,2024,1
CHN,ITA,other,4440465444,2024,2
CHN,ESP,energy,649867608,2024,2
CHN,ESP,semis,3541334241,2024,3
CHN,ESP,pharma,665111482,2024,2
CHN,ESP,food,766755571,2024,4
CHN,ESP,industrial_metals,2243967927,2024,4
CHN,ESP,vehicles,1766037648,2024,2
CHN,ESP,agriculture,624020356,2024,3
CHN,ESP,chemicals,1833420754,2024,4
CHN,ESP,textiles,2691387400,2024,2
CHN,ESP,other,7659997953,2024,3
CHN,POL,energy,479941618,2024,2
CHN,POL,semis,5021929531,2024,3
CHN,POL,pharma,497252446,2024,4
CHN,POL,food,426448801,2024,4
CHN,POL,industrial_metals,1930960003,2024,3
CHN,POL,vehicles,2105514618,2024,4
CHN,POL,agriculture,555068348,2024,4
CHN,POL,chemicals,1566935835,2024,3
CHN,POL,textiles,3174032282,2024,3
CHN,POL,other,5352731981,2024,3
CHN,VNM,energy,363903857,2024,1
CHN,VNM,semis,3974078429,2024,4
CHN,VNM,pharma,365417417,2024,4
CHN,VNM,food,576144565,2024,3
CHN,VNM,industrial_metals,1092668831,2024,2
CHN,VNM,agriculture,536486523,2024,2
CHN,VNM,chemicals,1416981515,2024,2
CHN,VNM,textiles,2484178932,2024,2
CHN,TWN,energy,298732715,2024,2
CHN,TWN,semis,2617415579,2024,4
CHN,TWN,pharma,454704744,2024,1
CHN,TWN,food,340004286,2024,2
CHN,TWN,industrial_metals,1287987460,2024,4
CHN,TWN,vehicles,870424653,2024,2
CHN,TWN,agriculture,262580713,2024,1
CHN,TWN,chemicals,657469312,2024,3
CHN,TWN,textiles,1676003148,2024,1
CHN,TWN,other,2521641666,2024,3
CHN,BEL,energy,310501638,2024,1
CHN,BEL,semis,2989048692,2024,3
CHN,BEL,pharma,282083614,2024,4
CHN,BEL,food,366906973,2024,2
CHN,BEL,industrial_metals,1122362083,2024,4
CHN,BEL,vehicles,1010385799,2024,2
CHN,BEL,agriculture,358334263,2024,3
CHN,BEL,chemicals,719752534,2024,1
CHN,BEL,textiles,1215683079,2024,2
CHN,BEL,other,2355432182,2024,2
CHN,SAU,energy,355159010,2024,1
CHN,SAU,semis,2246586922,2024,4
CHN,SAU,pharma,291566160,2024,2
CHN,SAU,food,234939839,2024,3
CHN,SAU,industrial_metals,1078457357,2024,1
CHN,SAU,vehicles,1109002921,2024,3
CHN,SAU,agriculture,261700746,2024,3
CHN,SAU,chemicals,842709090,2024,1
CHN,SAU,textiles,1006775965,2024,3
CHN,SAU,other,2939050743,2024,3
CHN,TUR,energy,254338034,2024,2
CHN,TUR,semis,1929411845,2024,2
CHN,TUR,pharma,169520956,2024,1
CHN,TUR,food,179354953,2024,2
CHN,TUR,industrial_metals,836337301,2024,1
CHN,TUR,vehicles,836006550,2024,4
CHN,TUR,agriculture,226782217,2024,1
CHN,TUR,chemicals,762406466,2024,2
CHN,TUR,textiles,1144889821,2024,4
CHN,TUR,other,2591627949,2024,2
CHN,ZAF,energy,362926982,2024,2
CHN,ZAF,semis,3112145256,2024,3
CHN,ZAF,pharma,374595446,2024,4
CHN,ZAF,food,289618119,2024,1
CHN,ZAF,industrial_metals,1041621861,2024,4
CHN,ZAF,vehicles,1006132672,2024,1
CHN,ZAF,agriculture,417383840,2024,4
CHN,ZAF,chemicals,890319922,2024,4
CHN,ZAF,textiles,1586086142,2024,2
CHN,ZAF,other,3959201386,2024,4
CHN,EGY,energy,305998481,2024,4
CHN,EGY,semis,1546536088,2024,3
CHN,EGY,pharma,223773836,2024,1
CHN,EGY,food,291953120,2024,4
CHN,EGY,industrial_metals,874204118,2024,3
CHN,EGY,vehicles,873181248,2024,2
CHN,EGY,agriculture,298567788,2024,1
CHN,EGY,chemicals,798836002,2024,4
CHN,EGY,textiles,1462902578,2024,1
CHN,EGY,other,3035070027,2024,4
CHN,NGA,energy,316277629,2024,3
CHN,NGA,semis,1828461515,2024,3
CHN,NGA,pharma,303233942,2024,2
CHN,NGA,food,298005851,2024,1
CHN,NGA,industrial_metals,822036728,2024,4
CHN,NGA,vehicles,960823339,2024,4
CHN,NGA,agriculture,234608299,2024,1
CHN,NGA,chemicals,728002303,2024,4
CHN,NGA,textiles,1225350963,2024,1
CHN,NGA,other,2075587152,2024,1
CHN,CHL,energy,298288938,2024,1
CHN,CHL,semis,2806055794,2024,2
CHN,CHL,pharma,313080009,2024,1
CHN,CHL,food,219601193,2024,4
CHN,CHL,industrial_metals,875055969,2024,1
CHN,CHL,vehicles,622966638,2024,1
CHN,CHL,agriculture,329864117,2024,3
CHN,CHL,chemicals,575932501,2024,4
CHN,CHL,textiles,1540907544,2024,3
CHN,CHL,other,3382866840,2024,3
CHN,COL,energy,326223334,2024,4
CHN,COL,semis,2664105613,2024,1
CHN,COL,pharma,347869277,2024,1
CHN,COL,food,296478916,2024,2
CHN,COL,industrial_metals,856995475,2024,4
CHN,COL,vehicles,932676583,2024,1
CHN,COL,agriculture,222112447,2024,2
CHN,COL,chemicals,586980585,2024,2
CHN,COL,textiles,1557045220,2024,4
CHN,COL,other,2459542447,2024,2
CHN,PAK,energy,381568122,2024,1
CHN,PAK,semis,3016387507,2024,1
CHN,PAK,pharma,276357395,2024,2
CHN,PAK,food,337407737,2024,3
CHN,PAK,industrial_metals,1196493223,2024,2
CHN,PAK,vehicles,1032942357,2024,2
CHN,PAK,agriculture,272194548,2024,1
CHN,PAK,chemicals,834021495,2024,1
CHN,PAK,textiles,1534339298,2024,4
CHN,PAK,other,3749916396,2024,4
CHN,KAZ,energy,341916346,2024,4
CHN,KAZ,semis,2504566432,2024,4
CHN,KAZ,pharma,370937815,2024,3
CHN,KAZ,food,250515557,2024,4
CHN,KAZ,industrial_metals,1153393339,2024,4
CHN,KAZ,vehicles,780472961,2024,2
CHN,KAZ,agriculture,241728752,2024,4
CHN,KAZ,chemicals,565853578,2024,1
CHN,KAZ,textiles,1547740063,2024,3
CHN,KAZ,other,2212653050,2024,3
CHN,BGD,energy,273183843,2024,1
CHN,BGD,semis,1930545296,2024,3
CHN,BGD,pharma,243070083,2024,4
CHN,BGD,food,282741174,2024,4
CHN,BGD,industrial_metals,775901268,2024,4
CHN,BGD,vehicles,551574865,2024,3
CHN,BGD,agriculture,272182713,2024,4
CHN,BGD,chemicals,518437143,2024,2
CHN,BGD,textiles,1349782857,2024,3
CHN,BGD,other,2528461313,2024,3
CHN,KSA,energy,427327375,2024,3
CHN,KSA,semis,3291495296,2024,4
CHN,KSA,pharma,274189524,2024,3
CHN,KSA,food,298945993,2024,1
CHN,KSA,industrial_metals,873371376,2024,4
CHN,KSA,vehicles,1114168685,2024,3
CHN,KSA,agriculture,333911330,2024,4
CHN,KSA,chemicals,977659519,2024,3
CHN,KSA,textiles,2012192654,2024,2
CHN,KSA,other,2663959292,2024,4
CHN,ISR,energy,265293424,2024,1
CHN,ISR,semis,2048782093,2024,3
CHN,ISR,pharma,349584789,2024,2
CHN,ISR,food,337959760,2024,1
CHN,ISR,industrial_metals,1139205190,2024,1
CHN,ISR,vehicles,851440753,2024,4
CHN,ISR,agriculture,213332836,2024,2
CHN,ISR,chemicals,874501234,2024,4
CHN,ISR,textiles,1254929233,2024,4
CHN,ISR,other,2321323137,2024,1
CHN,AUT,energy,374287518,2024,3
CHN,AUT,semis,2630368391,2024,4
CHN,AUT,pharma,391192025,2024,3
CHN,AUT,food,334004943,2024,2
CHN,AUT,industrial_metals,1158407132,2024,3
CHN,AUT,vehicles,1068963627,2024,2
CHN,AUT,agriculture,327841696,2024,2
CHN,AUT,chemicals,699400715,2024,1
CHN,AUT,textiles,1514302236,2024,4
CHN,AUT,other,3456783619,2024,2
USA,CAN,energy,15327225170,2024,3
USA,CAN,semis,18516234318,2024,4
USA,CAN,pharma,10257576182,2024,1
USA,CAN,food,4284472784,2024,4
USA,CAN,industrial_metals,4301305362,2024,1
USA,CAN,vehicles,11149675582,2024,1
USA,CAN,agriculture,12024901049,2024,2
USA,CAN,chemicals,9932757648,2024,1
USA,CAN,textiles,3413194581,2024,1
USA,CAN,other,49165738937,2024,3
USA,MEX,energy,14291787922,2024,4
USA,MEX,semis,15027754578,2024,1
USA,MEX,pharma,9429167166,2024,4
USA,MEX,food,2634172378,2024,3
USA,MEX,industrial_metals,3444354795,2024,4
USA,MEX,vehicles,6013532593,2024,4
USA,MEX,agriculture,12386123407,2024,3
USA,MEX,chemicals,9991340443,2024,2
USA,MEX,textiles,2740394117,2024,4
USA,MEX,other,39261129251,2024,2
USA,CHN,energy,7334764192,2024,1
USA,CHN,semis,13908647175,2024,4
USA,CHN,pharma,8844792828,2024,1
USA,CHN,food,2134641702,2024,3
USA,CHN,industrial_metals,2257552352,2024,1
USA,CHN,vehicles,4459592783,2024,1
USA,CHN,agriculture,9561334327,2024,3
USA,CHN,chemicals,9624415701,2024,2
USA,CHN,textiles,2965895765,2024,3
USA,CHN,other,26983331479,2024,3
USA,JPN,energy,10594901769,2024,3
USA,JPN,semis,9592491908,2024,4
USA,JPN,pharma,6836195405,2024,4
USA,JPN,food,2189342263,2024,2
USA,JPN,industrial_metals,2923946320,2024,2
USA,JPN,vehicles,4873004372,2024,2
USA,JPN,agriculture,8604511947,2024,3
USA,JPN,chemicals,6824630456,2024,2
USA,JPN,textiles,2576754720,2024,1
USA,JPN,other,25266337565,2024,4
USA,KOR,energy,7120217848,2024,1
USA,KOR,semis,13044672359,2024,2
USA,KOR,pharma,5646216939,2024,3
USA,KOR,food,2316972760,2024,1
USA,KOR,industrial_metals,2655195297,2024,2
USA,KOR,vehicles,7126551033,2024,3
USA,KOR,agriculture,8997940038,2024,4
USA,KOR,chemicals,7678732514,2024,4
USA,KOR,textiles,3013142734,2024,1
USA,KOR,other,32354554725,2024,2
USA,GBR,energy,5671861735,2024,2
USA,GBR,semis,7335580290,2024,2
USA,GBR,pharma,4884802582,2024,2
USA,GBR,food,1600574012,2024,1
USA,GBR,industrial_metals,1402786948,2024,4
USA,GBR,vehicles,4967152739,2024,2
USA,GBR,agriculture,6107694147,2024,3
USA,GBR,chemicals,6484676078,2024,2
USA,GBR,textiles,1882396926,2024,4
USA,GBR,other,19034771389,2024,3
USA,DEU,energy,6260259209,2024,3
USA,DEU,semis,8529958898,2024,1
USA,DEU,pharma,3669008604,2024,2
USA,DEU,food,1546377650,2024,2
USA,DEU,industrial_metals,1096929323,2024,2
USA,DEU,vehicles,2608666025,2024,3
USA,DEU,agriculture,5413748335,2024,1
USA,DEU,chemicals,3838702253,2024,3
USA,DEU,textiles,1726872639,2024,1
USA,DEU,other,11880238006,2024,1
USA,NLD,energy,4323650227,2024,3
USA,NLD,semis,8162292119,2024,3
USA,NLD,pharma,5433272632,2024,2
USA,NLD,food,1370500464,2024,3
USA,NLD,industrial_metals,1244089046,2024,3
USA,NLD,vehicles,3469752102,2024,1
USA,NLD,agriculture,6151287703,2024,2
USA,NLD,chemicals,3852787128,2024,4
USA,NLD,textiles,2009976700,2024,2
USA,NLD,other,21767453571,2024,4
USA,BRA,energy,6561117910,2024,2
USA,BRA,semis,7533780168,2024,1
USA,BRA,pharma,6135009645,2024,4
USA,BRA,food,1431974802,2024,4
USA,BRA,industrial_metals,1398102149,2024,2
USA,BRA,vehicles,3792764079,2024,3
USA,BRA,agriculture,5903430208,2024,3
USA,BRA,chemicals,4967348568,2024,2
USA,BRA,textiles,1944362632,2024,4
USA,BRA,other,16768315477,2024,1
USA,FRA,energy,3472937272,2024,4
USA,FRA,semis,4184799222,2024,4
USA,FRA,pharma,4668965724,2024,3
USA,FRA,food,1186863741,2024,1
USA,FRA,industrial_metals,1199540274,2024,2
USA,FRA,vehicles,2114044839,2024,2
USA,FRA,agriculture,3014006488,2024,3
USA,FRA,chemicals,3345385160,2024,1
USA,FRA,textiles,1450713093,2024,1
USA,FRA,other,11277697817,2024,1
USA,SGP,energy,4522240583,2024,1
USA,SGP,semis,6657181008,2024,4
USA,SGP,pharma,3382146090,2024,4
USA,SGP,food,1462562075,2024,1
USA,SGP,industrial_metals,912257507,2024,3
USA,SGP,vehicles,2609434647,2024,4
USA,SGP,agriculture,3820549575,2024,4
USA,SGP,chemicals,3760628805,2024,1
USA,SGP,textiles,1138722948,2024,4
USA,SGP,other,14682439294,2024,2
USA,IND,energy,4386911007,2024,2
USA,IND,semis,3413293087,2024,1
USA,IND,pharma,3803358082,2024,4
USA,IND,food,1350690222,2024,4
USA,IND,industrial_metals,1394673050,2024,4
USA,IND,vehicles,2679242021,2024,3
USA,IND,agriculture,2951930964,2024,2
USA,IND,chemicals,2295858040,2024,3
USA,IND,textiles,1446518975,2024,3
USA,IND,other,9750639401,2024,2
USA,TWN,energy,3888851277,2024,1
USA,TWN,semis,3326313657,2024,3
USA,TWN,pharma,2804245487,2024,3
USA,TWN,food,1265103290,2024,2
USA,TWN,industrial_metals,807752763,2024,3
USA,TWN,vehicles,1823333437,2024,3
USA,TWN,agriculture,3368932224,2024,2
USA,TWN,chemicals,3430987815,2024,1
USA,TWN,textiles,869601086,2024,3
USA,TWN,other,12002256434,2024,2
USA,BEL,energy,3198218308,2024,2
USA,BEL,semis,3839740700,2024,3
USA,BEL,pharma,3148087556,2024,4
USA,BEL,food,834305195,2024,2
USA,BEL,industrial_metals,1068308922,2024,1
USA,BEL,vehicles,2133075501,2024,2
USA,BEL,agriculture,2953219377,2024,1
USA,BEL,chemicals,2224370984,2024,1
USA,BEL,textiles,1239286290,2024,2
USA,BEL,other,9122713858,2024,3
USA,ITA,energy,3177423929,2024,4
USA,ITA,semis,4027310463,2024,1
USA,ITA,pharma,1651751369,2024,4
USA,ITA,food,792550441,2024,3
USA,ITA,industrial_metals,886994676,2024,3
USA,ITA,vehicles,1428332568,2024,3
USA,ITA,agriculture,2622425665,2024,2
USA,ITA,chemicals,1766781222,2024,3
USA,ITA,textiles,849948953,2024,2
USA,ITA,other,9261221602,2024,1
USA,AUS,energy,1854585352,2024,1
USA,AUS,semis,2523577300,2024,2
USA,AUS,pharma,2438420933,2024,1
USA,AUS,food,503684648,2024,1
USA,AUS,industrial_metals,839471700,2024,3
USA,AUS,vehicles,1811572505,2024,4
USA,AUS,agriculture,1777003040,2024,4
USA,AUS,chemicals,2482220569,2024,3
USA,AUS,textiles,633967094,2024,1
USA,AUS,other,8105402554,2024,1
USA,HKG,energy,2158343481,2024,4
USA,HKG,semis,3048118436,2024,4
USA,HKG,pharma,2182503627,2024,3
USA,HKG,food,824730885,2024,3
USA,HKG,industrial_metals,785288766,2024,2
USA,HKG,vehicles,1845222709,2024,2
USA,HKG,agriculture,1934983499,2024,4
USA,HKG,chemicals,1903107736,2024,1
USA,HKG,textiles,800587108,2024,4
USA,HKG,other,7836414157,2024,3
USA,CHE,energy,2102210924,2024,4
USA,CHE,semis,2816709485,2024,2
USA,CHE,pharma,1746174519,2024,2
USA,CHE,food,725176029,2024,4
USA,CHE,industrial_metals,784477711,2024,1
USA,CHE,vehicles,1935725517,2024,2
USA,CHE,agriculture,2104758951,2024,4
USA,CHE,chemicals,2011700084,2024,2
USA,CHE,textiles,661348548,2024,2
USA,CHE,other,4910981259,2024,3
USA,ARE,energy,1485078005,2024,4
USA,ARE,semis,1653566236,2024,4
USA,ARE,pharma,1136382930,2024,1
USA,ARE,food,533728785,2024,4
USA,ARE,industrial_metals,410483367,2024,4
USA,ARE,vehicles,1127765321,2024,4
USA,ARE,agriculture,1726758009,2024,3
USA,ARE,chemicals,1392727777,2024,3
USA,ARE,textiles,581940685,2024,2
USA,ARE,other,5210248076,2024,2
USA,COL,energy,1961428563,2024,1
USA,COL,semis,2048543318,2024,1
USA,COL,pharma,1122042421,2024,4
USA,COL,food,460146757,2024,1
USA,COL,industrial_metals,392315732,2024,1
USA,COL,vehicles,1394425801,2024,3
USA,COL,agriculture,1177639680,2024,2
USA,COL,chemicals,1166087393,2024,2
USA,COL,textiles,483087444,2024,2
USA,COL,other,4042343149,2024,3
USA,CHL,energy,947057896,2024,2
USA,CHL,semis,1581139117,2024,1
USA,CHL,pharma,769799227,2024,1
USA,CHL,food,303879499,2024,1
USA,CHL,industrial_metals,423143620,2024,3
USA,CHL,vehicles,678891884,2024,3
USA,CHL,agriculture,877671027,2024,2
USA,CHL,chemicals,1144504485,2024,1
USA,CHL,textiles,264016569,2024,3
USA,CHL,other,3246212605,2024,4
USA,ISR,energy,1090446903,2024,2
USA,ISR,semis,1445866905,2024,4
USA,ISR,pharma,920363588,2024,3
USA,ISR,food,400063863,2024,2
USA,ISR,industrial_metals,276803809,2024,1
USA,ISR,vehicles,659743509,2024,3
USA,ISR,agriculture,842532866,2024,2
USA,ISR,chemicals,978898459,2024,4
USA,ISR,textiles,272174365,2024,3
USA,ISR,other,3387825410,2024,3
USA,IRL,energy,956369865,2024,4
USA,IRL,semis,1241251831,2024,2
USA,IRL,pharma,884171260,2024,1
USA,IRL,food,335725493,2024,2
USA,IRL,industrial_metals,204026481,2024,3
USA,IRL,vehicles,687032137,2024,2
USA,IRL,agriculture,688028311,2024,3
USA,IRL,chemicals,986955871,2024,4
USA,IRL,textiles,301144023,2024,2
USA,IRL,other,3056885642,2024,3
USA,ESP,energy,1409458428,2024,4
USA,ESP,semis,1432028945,2024,1
USA,ESP,pharma,1077371003,2024,2
USA,ESP,food,341990626,2024,3
USA,ESP,industrial_metals,280884967,2024,2
USA,ESP,vehicles,946951142,2024,1
USA,ESP,agriculture,712063346,2024,1
USA,ESP,chemicals,831630895,2024,1
USA,ESP,textiles,330734571,2024,4
USA,ESP,other,3725300270,2024,3
USA,PHL,energy,1304760928,2024,3
USA,PHL,semis,1355036592,2024,4
USA,PHL,pharma,1052249977,2024,4
USA,PHL,food,335352746,2024,2
USA,PHL,industrial_metals,292037798,2024,3
USA,PHL,vehicles,782256475,2024,1
USA,PHL,agriculture,1030033497,2024,4
USA,PHL,chemicals,912333500,2024,3
USA,PHL,textiles,241021962,2024,3
USA,PHL,other,2281260360,2024,3
USA,MYS,energy,679021789,2024,3
USA,MYS,semis,1294898728,2024,2
USA,MYS,pharma,585149617,2024,3
USA,MYS,food,347437209,2024,2
USA,MYS,industrial_metals,294014059,2024,3
USA,MYS,vehicles,478713319,2024,4
USA,MYS,agriculture,926450279,2024,2
